k;p=1;p=2;p=3;p=4;p=5;p=6;p=7;p=8;p=9;p=10;p=11;p=12;p=13;p=14;p=15
1;0.090;0.081;0.075;0.073;0.073;0.071;0.071;0.069;0.069;0.070;0.072;0.071;0.070;0.071;0.070
2;0.090;0.081;0.075;0.073;0.073;0.071;0.071;0.069;0.069;0.070;0.072;0.071;0.070;0.071;0.070
3;0.090;0.073;0.066;0.065;0.061;0.061;0.058;0.058;0.058;0.059;0.059;0.059;0.061;0.061;0.062
4;0.083;0.072;0.067;0.066;0.066;0.063;0.062;0.062;0.062;0.062;0.061;0.061;0.061;0.062;0.062
5;0.091;0.078;0.073;0.069;0.068;0.068;0.066;0.065;0.065;0.066;0.066;0.065;0.065;0.066;0.066
6;0.092;0.079;0.076;0.072;0.068;0.064;0.065;0.063;0.064;0.063;0.063;0.064;0.064;0.062;0.062
7;0.097;0.082;0.079;0.077;0.074;0.072;0.071;0.070;0.072;0.071;0.071;0.071;0.070;0.070;0.069
8;0.091;0.083;0.078;0.076;0.074;0.072;0.069;0.068;0.067;0.067;0.067;0.067;0.066;0.067;0.066
9;0.096;0.085;0.080;0.076;0.077;0.075;0.074;0.072;0.070;0.070;0.072;0.071;0.072;0.070;0.069
10;0.098;0.087;0.082;0.077;0.073;0.071;0.071;0.068;0.068;0.069;0.069;0.069;0.068;0.068;0.068
11;0.099;0.088;0.083;0.077;0.077;0.073;0.075;0.072;0.075;0.075;0.073;0.073;0.073;0.072;0.073
12;0.100;0.089;0.086;0.082;0.076;0.073;0.072;0.071;0.070;0.070;0.070;0.070;0.070;0.068;0.068
13;0.102;0.092;0.086;0.084;0.081;0.078;0.077;0.075;0.075;0.074;0.073;0.074;0.073;0.072;0.072
14;0.104;0.093;0.085;0.080;0.078;0.077;0.078;0.076;0.076;0.074;0.074;0.074;0.073;0.073;0.074
15;0.107;0.093;0.091;0.087;0.082;0.082;0.081;0.078;0.076;0.078;0.078;0.077;0.076;0.075;0.075
16;0.108;0.094;0.089;0.085;0.082;0.080;0.080;0.079;0.079;0.079;0.079;0.077;0.077;0.077;0.078
17;0.110;0.096;0.093;0.088;0.087;0.083;0.082;0.081;0.081;0.078;0.077;0.079;0.078;0.079;0.080
18;0.111;0.097;0.091;0.087;0.086;0.084;0.081;0.081;0.081;0.081;0.082;0.082;0.081;0.080;0.081
19;0.109;0.098;0.095;0.092;0.087;0.084;0.084;0.085;0.084;0.084;0.081;0.082;0.082;0.083;0.084
20;0.114;0.099;0.095;0.092;0.090;0.087;0.086;0.087;0.086;0.085;0.084;0.085;0.085;0.085;0.084
